1985,Chicago Cubs,NL,Davey Lopes,490000.00
1985,Chicago Cubs,NL,Warren Brusstar,375000.00
1985,Chicago Cubs,NL,Chris Speier,225000.00
1985,Chicago Cubs,NL,Bob Dernier,406250.00
1985,Chicago Cubs,NL,Gary Matthews,600000.00
1985,Chicago Cubs,NL,Keith Moreland,865000.00
1985,Chicago Cubs,NL,Dick Ruthven,766667.00
1985,Chicago Cubs,NL,Ryne Sandberg,505000.00
1985,Chicago Cubs,NL,Scott Sanderson,500000.00
1985,Chicago Cubs,NL,Thad Bosley,215000.00
1985,Chicago Cubs,NL,Lary Sorensen,320000.00
1985,Chicago Cubs,NL,Ray Fontenot,200000.00
1985,Chicago Cubs,NL,Rick Sutcliffe,1260000.00
1985,Chicago Cubs,NL,Steve Trout,640000.00
1985,Chicago Cubs,NL,Gary Woods,321667.00
1985,Chicago Cubs,NL,Lee Smith,670000.00
1985,Chicago Cubs,NL,Richie Hebner,310000.00
1985,Chicago White Sox,AL,Richard Dotson,900000.00
1985,Chicago White Sox,AL,Greg Walker,195000.00
1985,Chicago White Sox,AL,Juan Agosto,147500.00
1985,Chicago White Sox,AL,Harold Baines,675000.00
1985,Chicago White Sox,AL,Floyd Bannister,811250.00
1985,Chicago White Sox,AL,Julio Cruz,1242333.00
1985,Chicago White Sox,AL,Carlton Fisk,685000.00
1985,Chicago White Sox,AL,Scott Fletcher,165000.00
1985,Chicago White Sox,AL,Ozzie Guillen,60000.00
1985,Chicago White Sox,AL,Jerry Hairston,150000.00
1985,Chicago White Sox,AL,Gene Nelson,110000.00
1985,Chicago White Sox,AL,Tom Seaver,1136262.00
1985,Chicago White Sox,AL,Britt Burns,727500.00
1985,Chicago White Sox,AL,Marc Hill,200000.00
1985,Chicago White Sox,AL,Dan Spillner,390000.00
1985,Chicago White Sox,AL,Tom Paciorek,333333.00
1985,Chicago White Sox,AL,Tim Lollar,463000.00
1985,Chicago White Sox,AL,Rudy Law,565000.00
1985,Chicago White Sox,AL,Ron Kittle,300000.00
1985,Chicago White Sox,AL,Bob James,265000.00
1985,Chicago White Sox,AL,Luis Salazar,325000.00
1985,Cincinnati Reds,NL,Joe Price,410000.00
1985,Cincinnati Reds,NL,Max Venable,155000.00
1985,Cincinnati Reds,NL,Ted Power,255000.00
1985,Cincinnati Reds,NL,Gary Redus,227500.00
1985,Cincinnati Reds,NL,Pete Rose,358858.00
1985,Cincinnati Reds,NL,Mario Soto,1071429.00
1985,Cincinnati Reds,NL,John Stuper,250000.00
1985,Cincinnati Reds,NL,Dave Van Gorder,60000.00
1985,Cincinnati Reds,NL,Tony Perez,225000.00
1985,Cincinnati Reds,NL,Tom Foley,117500.00
1985,Cincinnati Reds,NL,Jay Tibbs,60000.00
1985,Cincinnati Reds,NL,Buddy Bell,751297.00
1985,Cincinnati Reds,NL,Dave Parker,970000.00
1985,Cincinnati Reds,NL,Ron Oester,550000.00
1985,Cincinnati Reds,NL,Eddie Milner,300000.00
1985,Cincinnati Reds,NL,Andy McGaffigan,110000.00
1985,Cincinnati Reds,NL,Wayne Krenchicki,250000.00
1985,Cincinnati Reds,NL,John Franco,75000.00
1985,Cincinnati Reds,NL,Dave Concepcion,920000.00
1985,Cincinnati Reds,NL,Tom Browning,60000.00
1985,Cincinnati Reds,NL,Frank Pastore,350000.00
1985,Cincinnati Reds,NL,Tom Hume,833333.00
1985,Cleveland Indians,AL,Neal Heaton,225000.00
1985,Cleveland Indians,AL,Brook Jacoby,140000.00
1985,Cleveland Indians,AL,Vern Ruhle,295000.00
1985,Cleveland Indians,AL,Pat Tabler,285000.00
1985,Cleveland Indians,AL,Andre Thornton,1100000.00
1985,Cleveland Indians,AL,George Vukovich,375000.00
1985,Cleveland Indians,AL,Tom Waddell,125000.00
1985,Cleveland Indians,AL,Mel Hall,210000.00
1985,Cleveland Indians,AL,Wayne Garland,200000.00
1985,Cleveland Indians,AL,Tony Bernazard,400000.00
1985,Cleveland Indians,AL,Chris Bando,225000.00
1985,Cleveland Indians,AL,Bert Blyleven,650000.00
1985,Cleveland Indians,AL,Brett Butler,425000.00
1985,Cleveland Indians,AL,Ernie Camacho,115000.00
1985,Cleveland Indians,AL,Jamie Easterly,265000.00
1985,Cleveland Indians,AL,Julio Franco,455000.00
1985,Cleveland Indians,AL,Mike Fischlin,190000.00
1985,Cleveland Indians,AL,Benny Ayala,303333.00
1985,Cleveland Indians,AL,Joe Carter,110000.00
1985,Cleveland Indians,AL,Mike Hargrove,458333.00
1985,Detroit Tigers,AL,Milt Wilcox,550000.00
1985,Detroit Tigers,AL,Jack Morris,885000.00
1985,Detroit Tigers,AL,Lance Parrish,766667.00
1985,Detroit Tigers,AL,Dan Petry,875000.00
1985,Detroit Tigers,AL,Bill Scherrer,100000.00
1985,Detroit Tigers,AL,Walt Terrell,177500.00
1985,Detroit Tigers,AL,Lou Whitaker,670000.00
1985,Detroit Tigers,AL,Aurelio Lopez,575000.00
1985,Detroit Tigers,AL,Larry Herndon,675000.00
1985,Detroit Tigers,AL,Alan Trammell,517143.00
1985,Detroit Tigers,AL,Tom Brookens,250000.00
1985,Detroit Tigers,AL,Chet Lemon,670000.00
1985,Detroit Tigers,AL,Dave Bergman,262500.00
1985,Detroit Tigers,AL,Marty Castillo,76000.00
1985,Detroit Tigers,AL,Darrell Evans,1083333.00
